# tfrrs_meet	score	runner	location_id	gps_lat	gps_long	anet_course_name	tfrrs_location_raw
8385	1.00	0.50	523	40.515503	-89.021454	Maxwell Park	Maxwell Park Normal, IL 12345
8371	1.00	0.50	20399	44.602383	-75.18346	SUNY Canton	SUNY Canton Canton, NY 13617
9097	1.00	0.00	10129	38.34286	-81.83919	Meadowood Park	Meadowood Soccer Complex Tornado, WV 25202
7673	1.00	0.00	23061	43.46084	-85.95441	Fremont MS	Fremont HS address Fremont, MI 49412
9477	1.00	0.50	25995	46.836582	-96.74323	Moorhead Soccer Complex	Moorview Soccer Complex 23rd St S Moorhead, MN 56560
7725	1.00	0.75	29705	30.737896	-95.5847	Kate Barr Ross Park	Kate Barr-Ross Park, Huntsville, TX Huntsville, TX 77341
7873	1.00	0.25	24434	28.007912	-81.91145	Holloway Park	Holloway Park Lakeland, FL 32796
7906	1.00	0.33	48352	37.805073	-122.23635	Oakland High School	None Oakland, CA 94610
9560	1.00	0.50	1745	30.536364	-97.62613	Old Settlers Park	Old Settlers Park , TX
9132	1.00	0.50	31803	43.0528	-75.405975	Hamilton College	Hamilton College Cross-Country Course 1400 Washington Ave. Clinton, NY 13323
8265	1.00	0.50	24700	31.549334	-97.14667	Waco	Waco, TX 76798
9296	1.00	0.00	48982	31.270977	-86.47399	22940 AL-55	Stanley Park, Westfield, MA 677 Western Avenue Westfield, AL 01040
10263	1.00	0.50	11091	40.50382	-78.63762	St. Francis University Course	St FRANCIS COLLEGE Loretto, PA 15940
10232	1.00	0.67	8704	39.392746	-76.677025	The Park School of Baltimore	Oregon Ridge State Park Baltimore, MD 21252
10233	1.00	0.67	8704	39.392746	-76.677025	The Park School of Baltimore	Oregon Ridge State Park Baltimore, MD 21252
10230	1.00	0.67	8704	39.392746	-76.677025	The Park School of Baltimore	Oregon Ridge State Park Baltimore, MD 21252
10235	1.00	0.67	8704	39.392746	-76.677025	The Park School of Baltimore	Oregon Ridge State Park Baltimore, MD 21252
10215	1.00	0.50	7680	41.119858	-80.33228	Westminster	Westminster (Pa.) New Wilmington, PA 16142
