# tfrrs_meet	top_score	runner_score	tfrrs_location_raw   (ambiguous -> geocode pile)
7731	1.00	1.00	Rowan College @ Gloucester County Sewell, NJ 08080
9271	1.00	1.00	McDade Park Scranton, PA 18504
9090	1.00	1.00	Univ. of St. Joseph West Hartford, CT 06117
9080	1.00	1.00	Hopkinton State Fairgrounds 513 Park Ave Hopkinton, NH 03229
9222	1.00	1.00	Texas A&M International University 5201 University Blvd. Laredo, TX 78041
7849	1.00	1.00	bakersfield college balersfield, CA 93305
7900	1.00	1.00	Clackamas Community College 19600 Molalla Ave Oregon City, OR 97045
9082	1.00	1.00	West Texas A&M Univ. Canyon, TX Canyon, TX 79016
7757	1.00	1.00	Kingswood Park Mason, OH 45039
7803	1.00	1.00	Rock Hill, SC 29733
8369	1.00	1.00	Veterans Park, Hoover, Alabama Hoover, AL 35242
8149	1.00	1.00	NW Missouri Maryville, MO 12345
9215	1.00	1.00	Ozarks (Ark.) 1000 Market St Clarksville, AR 72830
10299	1.00	1.00	Chamizal National Memorial Park El Paso, TX 79905
10240	1.00	1.00	Red Rocks Park South Burlington, VT 05405
9567	1.00	1.00	SUNY Delhi Golf Course Delhi, NY 13753
7895	1.00	1.00	Hopkinton State Fairgrounds 513 Park Ave Hopkinton, NH 03229
15605	1.00	1.00	University of North Texas, Discovery Park 3940 N. Elm St. Denton, TX 76207
9102	1.00	1.00	Akron North Canton, OH 44720
9079	1.00	1.00	Weast Branch XC Course Lock Haven, PA 17745
9069	1.00	1.00	Pine View Golf Club 52065 Pulver Road Three Rivers, MI 49093
9140	1.00	1.00	Winthrop University Rock Hill, SC 34189
9744	1.00	1.00	Saxl Park Bangor, ME 04401
13234	1.00	1.00	Rebsamen Golf Course Little Rock, AR 72204
8338	1.00	1.00	Lower Woodland Park Seattle, WA 98103
14854	1.00	1.00	Sunken Meadow Kings Park, NY
8426	1.00	1.00	LHU XC Foundation Fields Lock Haven, PA 17745
8444	1.00	1.00	Riverside City Cross Country Course Riverside, CA 92501
8439	1.00	1.00	Angel Mounds Cross Country Course Evansville, IN 47714
8333	1.00	1.00	West Texas A&M Univ Canyon, TX 79016
16053	1.00	1.00	St. Vincent Abington, PA
15971	1.00	1.00	SUNY Plattsburgh Plattsburgh, NY 12901
9223	1.00	1.00	Oakville Indian Mounds Course Danville, AL 35601
9227	1.00	1.00	Davis & Elkins, WV Elkins, WV 26241
9289	1.00	1.00	Roger Lake Kristi Greenville, NC 27858
9233	1.00	1.00	Mounty Marty College Yankton, SD 51101
16258	1.00	1.00	PVAMU 700 University Drive Prairie View, TX 77446
14198	1.00	1.00	Bridgewater College (Va.) 402 E College St. Bridgewater, VA 22812
14203	1.00	1.00	LC Boles Golf Course Wooster, OH 44691
14218	1.00	1.00	Ottawa Golf Course Toledo, OH 43606
14186	1.00	1.00	Davis & Elkins College Elkins, WV 26241
15852	1.00	1.00	Mira Loma Park Reno, NV 89502
15863	1.00	1.00	Hartwick College Oneonta, NY
12930	1.00	1.00	Montana Missoula, MT 59812
12926	1.00	1.00	Montana Missoula, MT 59812
8430	1.00	1.00	Dale Watts Cross Country course College Station, TX 77843
14205	1.00	1.00	Ottawa Golf Course Toledo, OH 43606
9759	1.00	1.00	Riverside Cross Country Course Riverside, CA 92501
14189	1.00	1.00	Lake Sammamish 2000 Northwest Sammamish Road Issaquah, WA 98027
10437	1.00	1.00	The Hackler Course at Coastal Carolina University 107 Citadel Drive Conway, SC 29526
10844	1.00	1.00	U Montana Missoula, MT 59801
13236	1.00	1.00	Rebsamen Golf Course Little Rock, AR 72204
13240	1.00	1.00	Rebsamen Golf Course Little Rock, AR 72204
13245	1.00	1.00	Memorial Park Sugar Land Sugar Land, TX 77479
13238	1.00	1.00	Rebsamen Golf Course Little Rock, AR 72204
10575	1.00	1.00	Avery Park 100 Avery Park Road Corvallis, OR 97330
