key,course_name,state,existing_loc,n_divs
harvest course|OS,Harvest Course,OS,10294,30
1225 main st|IA,1225 Main St,IA,44938,4
albuquerque academy|NM,Albuquerque Academy,NM,44294,8
kirkwood park|MO,Kirkwood Park,MO,46859,104
3103 orange ave|IA,3103 Orange Ave,IA,44934,4
muhlenberg county middle school|KY,Muhlenberg County Middle School,KY,46266,85
christian county high school drive|KY,Christian County High School Drive,KY,44771,44
northern illinois university|IL,Northern Illinois University,IL,45070,41
cathedral high school|MS,Cathedral High School,MS,44619,22
university of maryland eastern shore|MD,University of Maryland Eastern Shore,MD,46405,32
clinton high school|MS,Clinton High School,MS,46618,47
calloway county high school|KY,Calloway County High School,KY,45072,44
6500 nw 100th st|IA,6500 NW 100th St,IA,44919,32
cherokee farm park greenway|TN,Cherokee Farm Park/Greenway,TN,44618,2
1301 s cleveland st|IA,1301 S Cleveland St,IA,44939,8
north forest high school|TX,North Forest High School,TX,44361,20
dog park at bna tennis soccer complex new albany|MS,Dog Park at BNA Tennis & Soccer Complex New Albany,MS,44776,40
desales university|PA,DeSales University,PA,44624,10
3535 ia 141|IA,3535 IA-141,IA,44935,4
12633 resort dr|IA,12633 Resort Dr,IA,44931,8
broadway west 251st street|NY,Broadway & West 251st Street,NY,44608,33
sydney r marovitz golf course|IL,Sydney R. Marovitz Golf Course,IL,46257,14
lydia d buder park buder south|MO,Lydia D. Buder Park (Buder South),MO,46967,4
1800 belmont mansion dr|PA,1800 Belmont Mansion Dr,PA,44631,22
2335 qf ln|IA,2335 Qf Ln,IA,44920,4
mohonk preserve|NY,Mohonk Preserve,NY,46875,2
1375 high st|IA,1375 High St,IA,44921,8
the links|IA,The Links,IA,45056,6
delaware valley high school|NJ,Delaware Valley High School,NJ,44607,4
601 s cedar st|IA,601 S Cedar St,IA,44937,4
andrew jackson s hermitage|TN,Andrew Jackson’s Hermitage,TN,44908,8
1901 n grimmell rd|IA,1901 N Grimmell Rd,IA,44924,4
hilliard darby high school|OH,Hilliard Darby High School,OH,46829,14
souderton area high school|PA,Souderton Area High School,PA,44630,4
illinois state university|IL,Illinois State University,IL,46205,13
salisbury|NC,Salisbury,NC,44386,4
penncrest high school|PA,Penncrest High School,PA,46274,8
eugene t mahoney state park|NE,Eugene T. Mahoney State Park,NE,44786,8
atascocita high school|TX,Atascocita High School,TX,44358,13
2316 river rd|IA,2316 River Rd,IA,44933,6
293 green ln|NJ,293 Green Ln,NJ,44623,8
957 ia 5|IA,957 IA-5,IA,44925,4
tbd|YT,TBD,YT,23410,52
sioux city|IA,Sioux City,IA,44458,16
beresford|SD,Beresford,SD,44704,4
405 des moines st|IA,405 Des Moines St,IA,,4
fd course|OS,FD Course,OS,3610,20
edgren tbd|OS,Edgren TBD,OS,4107,20
course for far east 1994|OS,course for Far East 1994,OS,3873,2
jfk s modified course|OS,JFK's Modified Course,OS,7301,8
gw home course|OS,GW Home Course,OS,3263,64
70613 130th st|IA,70613 130th St,IA,44927,4
cass county fairgrounds|NE,Cass County Fairgrounds,NE,45109,6
42 e havenview dr|PA,42 E Havenview Dr,PA,44622,12
country club drive|PA,Country Club Drive,PA,44628,4
720 forest ave|IA,720 Forest Ave,IA,44932,6
1111 hayward ave|IA,1111 Hayward Ave,IA,44923,8
3724 lakeview ln|IA,3724 Lakeview Ln,IA,44922,12
746 w washington st|IA,746 W Washington St,IA,44926,8
400 illick s mill rd|PA,400 Illick's Mill Rd,PA,44632,2
union university|TN,Union University,TN,44417,4
iwakuni unspecified location|OS,Iwakuni - unspecified location,OS,4108,2
21897 480th ln|IA,21897 480th Ln,IA,44995,4
oakwood friends school|NY,Oakwood Friends School,NY,44614,2
kutztown university of pennsylvania|PA,Kutztown University of Pennsylvania,PA,44625,2
haverford college|PA,Haverford College,PA,46170,2
south ankeny boulevard|IA,South Ankeny Boulevard,IA,46480,2
mae simmons park|TX,Mae Simmons Park,TX,46846,12
bryan park|VA,Bryan Park,VA,46269,4
temple university ambler campus|PA,Temple University Ambler Campus,PA,44621,2
13930 ne 6th st|IA,13930 NE 6th St,IA,44930,4
lee hall mansion|VA,Lee Hall Mansion,VA,44702,4
m clifford miller middle school|NY,M. Clifford Miller Middle School,NY,44647,4
decatur county golf and country club|IA,Decatur County Golf and Country Club,IA,44940,3
george school|PA,George School,PA,44627,4
boys town|NE,Boys Town,NE,46662,2
camp mabry|TX,Camp Mabry,TX,47088,2
founders walk|NS,Founders Walk,NS,46452,2
