# n_meets	state	city	venue_name	location_raw	gps_lat	gps_long   (fill the last two with your geocoder)
36	MD		Mount St. Mary's	Mount St. Mary's Emmitsburg, MD 21727		
36	IL		Illinois-Chicago	Illinois-Chicago Chicago, IL 60608		
20	PA		Schenley Park	Schenley Park Pittsburgh, PA 15229		
11	MT		Montana	Montana Missoula, MT 59812		
10	AR		Rebsamen Golf Course	Rebsamen Golf Course Little Rock, AR 72204		
10	TX		HOT Soccer Fields	HOT Soccer Fields 6101 Airport Rd Waco, TX 76710		
9	FL		Davenport	Davenport Davenport, FL 33837		
9	PR		Universidad UPR-Recinto Rio Piedras	Universidad UPR-Recinto Rio Piedras 14 Ave. Universidad Ste. 1401 San Juan, PR 00926		
8	UT		Murray Park Cross-Country Course	Murray Park Cross-Country Course Murray, UT 84107		
7	OR		Avery Park	Avery Park 100 Avery Park Road Corvallis, OR 97330		
7	FL		Markham Park	Markham Park 16001 West SR-84 Sunrise, FL		
6	NV		Craig Ranch Regional Park	Craig Ranch Regional Park North Las Vegas, NV 89154		
6	MA		Franklin Park	Franklin Park Boston, MA 02131		
6	MD		Stevenson University	Stevenson University Stevenson, MD 21153		
6	IN		FW Carroll MS	FW Carroll MS Ft. Wayne, IN 46818		
6	FL		Bayshore HS	Bayshore HS Bradenton, FL 34210		
6	NY		Hofstra University	Hofstra University Hempstead, NY 11549		
6	FL		Pine Crest West	Pine Crest West Fort Lauderdale, FL 33334		
6	KS		Clearwater Middle School	Clearwater Middle School Clearwater, KS 67026		
5	MD		Oregon Ridge State Park	Oregon Ridge State Park Baltimore, MD 21252		
5	WI		Lowes Creek County Park	Lowes Creek County Park Eau Claire, WI 55441		
5	PR		Universidad UPR-Recinto Rio Piedras	Universidad UPR-Recinto Rio Piedras San Juan, PR 00926		
5	VA	Fredericksburg	Mary Washington	Mary Washington Fredericksburg, VA		
5	NY		Fenner Fields, Cazenovia, NY	Fenner Fields, Cazenovia, NY Cazenovia, NY 13035		
5	FL		King's Academy	King's Academy West Palm Beach, FL 33409		
5	NH		Belmont HS	Belmont HS Belmont, NH 03220		
5	FL		Carlin Park	Carlin Park Jupiter, FL 33458		
5	AR	City Not Supplied	Venue Not Supplied	Venue Not Supplied City Not Supplied, AR		
5	NV		Shadow Mountain	Shadow Mountain Sparks, NV 89434		
5			Hargis Creek	Hargis Creek Wellington, KS, Kansas 67152		
4	PA		McDade Park	McDade Park Scranton, PA 18504		
4	MD		Stevenson	Stevenson Stevenson, MD 21153		
4	VA		Buford Meredith Cross Country Course	Buford Meredith Cross Country Course Blacksburg, VA 24061		
4	NY		SUNY Plattsburgh	SUNY Plattsburgh Plattsburgh, NY 12901		
4	MD		Jericho Park	Jericho Park 9510 Laurel Bowie Road Bowie, MD 20720		
4	ND		UND Cross Country Course	UND Cross Country Course Grand Forks, ND 58202		
4	FL		Mandarin	Mandarin Jacksonville, FL 32258		
4	PA	Doylestown	Delaware Valley University	Delaware Valley University Doylestown, PA		
4	IN		Borden	Borden , IN		
4	NY		CCNY	CCNY New York, NY 10031		
4	CT		Fairfield University	Fairfield University Fairfield, CT 06824		
4	FL		Sperling Sports Complex	Sperling Sports Complex Deland, FL 32724		
4	IA		Luther College	Luther College Decorah, IA 50428		
4	VA		Pole Green Park -- Richmond, VA	Pole Green Park -- Richmond, VA 8996 Pole Green Park Lane Mechanicsville, VA 23116		
4	PA		Messiah College	Messiah College Mechanicsburg, PA 17055		
4	AR	Conway	Central Arkansas	Central Arkansas 20 Kinley Dr Conway, AR		
4	FL		Indian River County Fairgrounds	Indian River County Fairgrounds Vero Beach, FL 32963		
4	PR		U.P.R. Rio Piedras	U.P.R. Rio Piedras San Juan, PR 00927		
4	OH		Franciscan (Ohio)	Franciscan (Ohio) Steubenville, OH 43952		
