table,location_id,state,lat,lon,n_rows,reason,clue
meets_tf,52018,OR,-27.5583,153.0623,7577,outside OR box,SPS
meets_tf,111677,WA,44.04707,-123.0249,3522,outside WA box,Wilkins Concordia hammer meet 
meets_tf,138170,MS,34.219753,0.0,2717,outside MS box,MAIS North State AAA Championship
meets_tf,141903,KY,38.243637,0.0,2247,outside KY box,USATF Region 5 Junior Olympic Championships (KY)
meets_tf,122459,KY,19.3133,-81.2546,2109,outside KY box,Tates Creek Relay Meet
meets_tf,66121,LA,36.18571,-86.67797,1422,outside LA box,"Week Four: Meigs, Bailey, Kipp Academy"
meets_tf,99970,SD,45.94215,-102.1626,1294,outside SD box,SDHSAA Region 8B Track & Field Meet
meets_tf,91722,MI,43.07597,-107.29028,1191,outside MI box,OK Silver: Northpointe @ Kelloggsville
meets_tf,123149,MA,31.791702,-7.09262,1185,outside MA box,Worcester League Meet 4
meets_tf,80676,OR,40.730637,-73.93446,1093,outside OR box,Wallowa County Meet
meets_tf,76472,IL,39.85667,-86.038216,824,outside IL box,Mike Holman Invite 
meets_tf,69190,IL,37.80081,-121.91881,693,outside IL box,Vermilion County Kickoff Classic
meets_tf,110789,NE,41.59114,-81.20041,680,outside NE box,Willoughby South & Chardon
meets_tf,138213,VA,37.060043,0.0,673,outside VA box,HRH Winter Storm Classic
meets_tf,65814,UT,36.07259,-79.77337,627,outside UT box,USATF Region 3 Junior Olympic Championships
meets_tf,52059,OR,13.037208,80.23438,556,outside OR box,Wilsonville @ Madras
meets_tf,138162,WA,-31.94947,115.782295,543,outside WA box,"Western Australia 10,000m Championships & Combined Events Co"
meets_tf,116505,TX,30.178366,-93.21563,517,outside TX box,McNeese State University Indoor Meet II
meets_tf,53195,NC,28.385233,-81.56387,508,outside NC box,Walt Disney World Invitational
meets_tf,70038,DE,38.172077,-75.3764,479,outside DE box,Worchester County Invit #1
meets_tf,66376,ID,36.331547,-92.39697,391,outside ID box,Sr. Bomber Relays
meets_tf,67021,MD,36.83745,-76.21427,372,outside MD box,AAU Junior Olympics
meets_tf,54624,TX,30.178366,-93.21563,354,outside TX box,McNeese State Cowboy Relays
meets_tf,141173,NC,36.002644,0.0,353,outside NC box,NC United
meets_tf,122466,IN,20.593683,78.96288,343,outside IN box,Westview vs Concord
meets_tf,72498,NV,38.907173,-78.20751,315,outside NV box,"Skyline vs. Sherando, Randolph-Macon Academy"
