meet_id,location_id,venue_name,address,city,state,postal_code,country
45443,112836,Ramsey Field,,Upper Tumon,OS,96932,OS
45449,112837,"Jfk, Ramsey Field",,Upper Tumon,OS,96932,OS
54588,112840,TBA,,Mangilao,OS,96932,OS
110623,112860,Kawagoe Undo Koen,,"Kawagoe, Saitama",OS,,OS
112776,112865,Ageo Athletic Park,,"Ageo, Saitama, Japan",OS,,OS
112580,112865,Ageo Athletic Park,,"Ageo, Saitama, Japan",OS,,OS
114108,112869,"Kamiyugi, Ageo, Kumagaya & other Parks",,"Hachioji, Ageo,",OS,,OS
104237,112875,Zama HS,,"APO AP, 96343-5005",OS,96338,OS
126217,112884,DAA/UAS,,Dubai,OS,32035,OS
130426,112885,Bridgetown Track,main st,Bridgetown,NS,,CA
138341,112896,"Chubu, Tokai regions",,"Nagano, Nagoya",OS,,OS
138362,112897,various,Japan,various,OS,,OS
138436,112898,"Tohoku, Hokkaido",,various Japan,OS,,OS
140186,112899,Tokai & Hokuriku regions,,"Nagoya, etc",OS,,OS
153999,112904,Thames Valley Harriers,,Eton,OS,NW8 0,OS
165323,112904,Thames Valley Harriers,,Eton,OS,NW8 0,OS
155897,112910,KuromeGawa River Path,,Higashi Kurume,OS,,OS
161111,112911,SAS Puxi,258 Jin Feng Road,Shanghai,OS,20110,OS
183210,112916,Shanghai American School,Super wet and soggy,Shanghai,OS,20110,OS
184756,112917,Shanghai American School - Puxi,258 Jin Feng Lu,Shanghai,OS,20110,OS
190667,112920,Pyongtaek City Stadium,,"Pyongtaek, ROK",OS,96278,OS
198043,112929,Oita Sports Park,1351 Yokote,"Oita City, Oita Pref",OS,870-0126,OS
200670,112930,Humphreys HS,,Pyongtaek,OS,96271,OS
238266,112950,ZION (KOZA Stadium),Unit 35008  FPO AP,"Okinawa, Japan",OS,96373,OS
285187,112971,City Light Stadium Athletic Field,"2-1 Izumi-cho, Kita-ku",Okayama City,OS,700-8544,OS
295634,112972,George Odlum Stadium,St. Urbain,Vieux Fort,CS,,CS
296938,112973,Olympic Stadium,Rd. 250,Maadi,OS,11431,OS
316122,112975,Park Montedio,,"Tendo, YAMAGATA-ken",OS,994-0000,OS
330721,112988,Blawkhawk Stadium,,APO AP,os,96271,KR
333310,112998,Maadi Olympic Stadium,"Road 250, Maadi",Cairo,os,11431,EG
334888,113001,Northside Conference Ribbon Meet,ISDB Track,Gooding,ID,83330,US
336467,113002,TBD,,TBD,MA,02445,US
341464,113012,Blackhawk Stadium,,APO AA,os,96271,KR
330722,113012,Blackhawk Stadium,,APO AA,os,96271,KR
374660,113022,Last Chance Invitational,,APO,os,96251,OS
404990,113026,DoDEA Europe Virtual Meet,,APO AE,OS,09114,US
