# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
anet	526794	1	33	-31.96	5.29	-21.9	
anet	33425	1	19	-38.55	7.54	-21.7	
anet	580895	1	13	-21.24	2.64	-14.3	
anet	643424	1	18	-21.69	4.16	-13.7	
anet	308334	1	20	+23.14	2.32	+13.0	
anet	623298	1	17	-24.42	7.15	-12.5	
anet	260130	1	12	+23.38	3.05	+12.1	
anet	41833	1	25	+23.68	4.70	+12.1	
anet	82735	2	19	+21.17	4.54	+10.6	
tfrrs	61487	None	105	-17.88	12.79	-10.2	
tfrrs	35985	None	22	-16.38	4.40	-10.1	
anet	67395	1	42	+19.81	6.36	+10.1	
tfrrs	73644	None	28	-15.36	3.64	-10.1	
tfrrs	54702	None	28	-15.73	4.50	-9.9	
tfrrs	38108	None	46	-14.87	5.02	-9.6	
anet	149289	1	16	+16.30	1.88	+9.5	
anet	60084	1	92	+15.77	3.05	+9.5	
tfrrs	18728	None	56	-14.87	6.20	-9.4	
tfrrs	20574	None	46	-13.72	3.29	-9.3	
anet	313708	1	50	+17.55	6.36	+9.3	
tfrrs	12877	None	22	-15.01	4.43	-9.2	
anet	129681	2	42	+16.54	4.75	+9.2	
anet	309068	1	22	-14.80	4.80	-8.9	
tfrrs	51829	None	61	-13.20	4.24	-8.8	
tfrrs	35340	None	50	-13.84	5.50	-8.8	
tfrrs	11633	None	60	-13.90	6.20	-8.8	
tfrrs	43609	None	75	-13.34	5.43	-8.8	
tfrrs	14048	None	73	-13.13	4.92	-8.7	
tfrrs	19948	None	50	-13.13	4.10	-8.7	
anet	142040	2	17	+15.29	2.71	+8.7	
tfrrs	57599	None	147	-12.62	4.59	-8.6	
tfrrs	51135	None	50	-12.75	3.46	-8.6	
tfrrs	4693	None	12	-13.37	2.72	-8.5	
tfrrs	38500	None	59	-13.15	5.51	-8.5	
tfrrs	49016	None	64	-12.87	4.99	-8.4	
tfrrs	39885	None	26	-13.84	4.80	-8.4	
tfrrs	76654	None	47	-13.03	4.83	-8.4	
tfrrs	19170	None	53	-12.84	4.64	-8.4	
tfrrs	18003	None	40	-12.43	3.02	-8.4	
tfrrs	93952	None	26	-12.79	3.25	-8.4	
tfrrs	87960	None	94	-12.44	4.76	-8.4	
tfrrs	50549	None	80	-12.39	4.32	-8.3	
tfrrs	43684	None	61	-12.45	4.20	-8.3	
tfrrs	88794	None	36	-13.11	4.75	-8.3	
anet	64369	1	71	+13.92	3.91	+8.2	
tfrrs	75595	None	12	-13.43	3.18	-8.2	
tfrrs	49770	None	31	-13.83	5.77	-8.2	
anet	166430	1	88	+13.51	2.86	+8.2	
tfrrs	9149	None	30	-12.92	4.36	-8.1	
anet	365131	1	116	-26.42	39.02	-8.1	
anet	423756	1	13	-14.76	4.71	-8.1	
tfrrs	40036	None	31	-12.86	4.36	-8.1	
tfrrs	50625	None	58	-12.30	4.38	-8.1	
tfrrs	48342	None	46	-12.25	3.76	-8.1	
tfrrs	14812	None	80	-12.50	5.92	-8.1	
tfrrs	14159	None	19	-13.63	4.51	-8.1	
tfrrs	96011	None	54	-13.42	7.17	-8.1	
tfrrs	10274	None	199	-11.89	5.64	-8.1	
tfrrs	18654	None	84	-11.93	4.04	-8.1	
anet	519936	1	25	+13.47	2.04	+8.1	
tfrrs	34649	None	38	-12.38	4.10	-8.0	
tfrrs	28955	None	49	-13.52	7.26	-8.0	
tfrrs	54743	None	36	-12.81	4.96	-8.0	
tfrrs	49115	None	58	-11.99	3.94	-8.0	
tfrrs	37414	None	107	-11.70	3.72	-8.0	
tfrrs	20768	None	24	-12.83	4.15	-8.0	
tfrrs	11211	None	13	-13.07	3.33	-8.0	
tfrrs	19949	None	77	-12.10	5.10	-8.0	
tfrrs	49139	None	36	-14.27	7.52	-8.0	
tfrrs	18084	None	32	-13.60	6.11	-8.0	
tfrrs	61433	None	46	-11.99	3.68	-8.0	
tfrrs	63198	None	39	-13.00	5.72	-7.9	
tfrrs	83313	None	39	-15.98	10.37	-7.9	
anet	517944	1	23	+14.55	3.98	+7.9	
tfrrs	51047	None	53	-12.21	4.75	-7.9	
tfrrs	53564	None	36	-12.70	4.99	-7.9	
tfrrs	18566	None	77	-12.05	5.27	-7.9	
tfrrs	37959	None	80	-12.32	6.39	-7.9	
tfrrs	35189	None	41	-12.21	4.33	-7.9	
tfrrs	61904	None	32	-12.69	4.81	-7.9	
tfrrs	32432	None	39	-11.70	2.83	-7.9	
tfrrs	37845	None	23	-13.25	4.91	-7.9	
anet	83456	1	89	+12.92	3.03	+7.8	
tfrrs	55845	None	47	-12.01	4.31	-7.8	
tfrrs	32829	None	33	-12.19	4.06	-7.8	
anet	443139	1	21	-17.57	9.38	-7.8	
tfrrs	43338	None	32	-12.34	4.32	-7.8	
tfrrs	35629	None	43	-12.08	4.45	-7.8	
tfrrs	66946	None	50	-12.25	5.31	-7.8	
anet	340920	1	14	+14.65	3.48	+7.8	
tfrrs	48995	None	36	-13.04	6.08	-7.8	
anet	142040	1	12	+15.13	3.61	+7.8	
tfrrs	19185	None	135	-11.36	3.93	-7.8	
tfrrs	82408	None	39	-11.69	3.37	-7.8	
anet	83681	1	38	+12.98	2.70	+7.7	
tfrrs	50285	None	42	-11.95	4.28	-7.7	
tfrrs	76652	None	52	-12.04	5.03	-7.7	
tfrrs	52027	None	111	-11.57	5.15	-7.7	
tfrrs	49375	None	48	-11.78	4.12	-7.7	
tfrrs	24912	None	374	-11.15	3.79	-7.7	
anet	125551	1	95	+12.76	3.48	+7.7	
tfrrs	44733	None	34	-12.15	4.39	-7.7	
tfrrs	48283	None	101	-11.59	5.31	-7.7	
tfrrs	75948	None	59	-12.46	6.68	-7.7	
tfrrs	241	None	61	-11.69	4.53	-7.7	
tfrrs	22200	None	18	-12.44	3.67	-7.7	
tfrrs	48425	None	38	-12.76	5.97	-7.7	
tfrrs	18082	None	33	-12.13	4.43	-7.7	
tfrrs	38060	None	16	-12.66	3.78	-7.7	
tfrrs	43573	None	130	-11.13	3.07	-7.7	
tfrrs	43048	None	46	-11.72	4.17	-7.7	
tfrrs	15634	None	19	-15.22	7.04	-7.6	
tfrrs	1401	None	44	-11.78	4.33	-7.6	
anet	134261	1	16	+14.59	3.93	+7.6	
tfrrs	14719	None	100	-11.49	5.24	-7.6	
tfrrs	31774	None	13	-12.69	3.50	-7.6	
tfrrs	44975	None	47	-12.10	5.36	-7.6	
tfrrs	16642	None	34	-14.35	8.26	-7.6	
tfrrs	27540	None	71	-11.60	4.95	-7.6	
tfrrs	43536	None	59	-11.78	5.11	-7.6	
anet	83674	1	81	+13.15	5.43	+7.6	
tfrrs	28828	None	20	-12.66	4.38	-7.6	
anet	585217	1	22	+19.02	8.47	+7.6	
tfrrs	83591	None	65	-11.43	4.26	-7.6	
anet	637115	10	12	-17.23	7.21	-7.6	
tfrrs	59268	None	216	-11.03	4.08	-7.6	
tfrrs	50063	None	78	-11.55	5.23	-7.6	
anet	446653	1	20	+13.90	3.78	+7.6	
anet	282721	1	112	+12.93	5.81	+7.6	
tfrrs	78632	None	86	-11.26	4.18	-7.6	
anet	619363	1	15	+13.68	3.05	+7.6	
tfrrs	52048	None	124	-11.14	4.35	-7.6	
tfrrs	49022	None	192	-10.96	3.40	-7.6	
tfrrs	6769	None	24	-11.75	3.41	-7.5	
tfrrs	11013	None	62	-12.43	7.34	-7.5	
tfrrs	13691	None	73	-11.70	5.79	-7.5	
tfrrs	21184	None	96	-11.08	3.55	-7.5	
tfrrs	61338	None	64	-11.23	3.67	-7.5	
tfrrs	9049	None	16	-12.87	4.28	-7.5	
tfrrs	53576	None	115	-11.28	5.33	-7.5	
tfrrs	52554	None	26	-12.55	5.01	-7.5	
tfrrs	13502	None	33	-12.57	5.70	-7.5	
anet	231053	1	15	-13.67	5.05	-7.5	
tfrrs	19052	None	27	-12.59	5.23	-7.5	
tfrrs	49519	None	34	-12.74	6.18	-7.5	
tfrrs	27348	None	71	-11.30	4.57	-7.5	
tfrrs	67365	None	42	-11.89	5.13	-7.5	
tfrrs	74808	None	23	-11.14	2.26	-7.5	
tfrrs	44329	None	28	-12.36	5.04	-7.5	
tfrrs	27088	None	66	-11.11	3.70	-7.4	
tfrrs	75989	None	25	-11.20	2.53	-7.4	
anet	422170	2	16	-13.12	4.73	-7.4	
tfrrs	27036	None	38	-11.58	4.29	-7.4	
tfrrs	39627	None	41	-11.03	2.84	-7.4	
tfrrs	10440	None	29	-11.65	3.95	-7.4	
tfrrs	46114	None	75	-11.40	5.50	-7.4	
tfrrs	33239	None	53	-11.69	5.47	-7.4	
anet	228535	4	28	-12.38	5.23	-7.4	
tfrrs	85040	None	29	-12.44	5.43	-7.4	
tfrrs	10438	None	24	-13.47	6.36	-7.4	
tfrrs	20392	None	53	-11.01	3.30	-7.4	
tfrrs	43939	None	47	-11.28	4.10	-7.4	
tfrrs	29578	None	367	-10.68	3.86	-7.4	
tfrrs	17513	None	34	-12.07	5.25	-7.4	
