# source	meet_id	div_id	n	c_pct	iqr_pct	z	fan	fan_ratio	already
anet	199300	798809	13	+114.69	8.54	+21.6	FAN	1.83	
tfrrs	7938	0	87	-44.33	3.76	-21.0	-	0.81	
tfrrs	21909	0	23	-44.98	4.39	-20.7	-	0.94	
tfrrs	10064	0	52	-41.87	5.11	-19.1	-	1.09	OVERRIDE
tfrrs	8905	1	13	-41.40	2.36	-18.9	-	0.50	
tfrrs	8564	0	19	-40.42	2.96	-18.3	-	0.64	
tfrrs	8564	2	35	-39.85	2.88	-18.2	-	0.62	
tfrrs	10597	1	13	-39.68	2.11	-17.9	-	0.45	
tfrrs	8378	1	29	-40.91	6.50	-17.6	-	1.39	
tfrrs	26359	1	81	+61.46	7.34	+16.7	-	1.57	
anet	57377	245655	16	-36.96	1.95	-16.5	-	0.42	
tfrrs	5584	1	29	+60.69	4.88	+16.4	-	1.05	
tfrrs	26359	0	67	+59.55	6.06	+16.4	-	1.30	
anet	255603	1016469	45	+58.47	5.27	+16.1	-	1.13	
anet	97735	389486	36	+57.78	5.21	+15.8	-	1.12	
anet	214451	870392	14	+65.10	6.48	+15.6	-	1.39	
tfrrs	26359	3	40	+58.10	6.62	+15.6	-	1.42	
anet	186025	756041	12	+61.41	5.20	+15.4	-	1.11	
tfrrs	12545	0	26	+55.59	4.68	+15.3	-	1.00	
tfrrs	9064	1	14	-41.14	8.42	-15.2	FAN	1.80	
anet	233695	933689	28	+61.49	8.87	+15.1	FAN	1.90	
tfrrs	26359	2	28	+60.52	8.54	+15.0	FAN	1.83	
anet	235271	940956	20	-35.09	3.90	-15.0	-	0.83	
tfrrs	26323	2	19	+58.49	6.38	+14.9	-	1.37	
anet	41563	178604	15	-37.88	6.62	-14.9	-	1.42	
tfrrs	8664	1	70	-33.50	3.48	-14.6	-	0.75	OVERRIDE
anet	103004	407110	13	+52.45	3.79	+14.4	-	0.81	
anet	97735	389487	29	+51.94	5.85	+14.2	-	1.25	
anet	193001	807098	373	-52.06	90.92	-14.1	FAN	19.48	
tfrrs	26415	0	17	+53.97	5.85	+14.1	-	1.25	
tfrrs	26074	0	23	+53.76	6.82	+14.0	-	1.46	
anet	208358	835014	12	-34.36	4.92	-13.7	-	1.05	
anet	260890	1035858	21	+49.53	5.21	+13.6	-	1.12	
anet	247121	989911	25	+49.59	5.94	+13.5	-	1.27	
anet	247633	982613	58	+58.03	16.01	+13.5	FAN	3.43	
anet	246955	979697	34	+47.77	5.42	+13.5	-	1.16	
anet	197513	791357	13	+80.95	13.28	+13.4	FAN	2.85	
tfrrs	26074	1	33	+52.10	9.29	+13.3	FAN	1.99	
tfrrs	25409	3	65	+47.12	8.78	+13.1	FAN	1.88	
anet	197513	791358	15	+81.09	14.87	+13.1	FAN	3.19	OVERRIDE
tfrrs	26933	0	36	+47.26	7.13	+13.0	-	1.53	
anet	217913	871664	31	+45.17	5.15	+12.9	-	1.10	
tfrrs	9756	3	24	+47.30	6.25	+12.9	-	1.34	
anet	164853	680324	25	-32.33	6.84	-12.8	-	1.47	
tfrrs	26933	1	42	+44.86	5.97	+12.8	-	1.28	
anet	260890	1035860	13	+48.35	5.46	+12.7	-	1.17	
anet	78732	311476	17	+48.72	6.51	+12.7	-	1.40	
tfrrs	14170	1	18	-37.48	11.34	-12.6	FAN	2.43	
tfrrs	26200	1	36	+46.49	8.67	+12.4	FAN	1.86	
tfrrs	25409	2	63	+43.84	8.94	+12.3	FAN	1.92	
tfrrs	7589	1	57	+40.50	2.76	+12.2	-	0.59	
anet	142026	594540	27	+44.21	6.48	+12.2	-	1.39	
anet	76944	307108	20	+45.36	6.39	+12.2	-	1.37	
tfrrs	25409	1	42	+48.75	11.95	+12.2	FAN	2.56	
tfrrs	6916	1	18	-28.92	2.15	-12.2	-	0.46	OVERRIDE
anet	59678	255507	30	+41.43	4.41	+12.1	-	0.95	
tfrrs	26200	0	28	+43.22	6.18	+12.1	-	1.32	
anet	62885	273791	19	+47.29	7.80	+12.0	-	1.67	OVERRIDE
tfrrs	26415	1	19	+50.13	9.22	+11.9	FAN	1.97	
anet	92506	365295	17	-33.88	9.41	-11.8	FAN	2.02	
anet	206107	826410	12	+58.99	10.38	+11.8	FAN	2.22	
anet	51347	218773	43	-30.89	11.21	-11.6	FAN	2.40	OVERRIDE
anet	62278	267353	25	-30.96	8.66	-11.6	FAN	1.85	
anet	259217	1029163	45	+40.44	7.79	+11.4	-	1.67	
anet	156998	654333	19	+39.65	4.48	+11.4	-	0.96	
anet	193224	796892	15	+38.62	3.20	+11.4	-	0.69	
anet	194614	789024	41	+44.85	11.77	+11.4	FAN	2.52	
anet	87658	348045	13	+48.41	8.10	+11.4	-	1.74	OVERRIDE
anet	258411	1026600	56	+37.58	4.51	+11.3	-	0.97	
anet	258411	1026599	73	+38.24	6.83	+11.3	-	1.46	
tfrrs	9263	1	57	+36.98	4.47	+11.2	-	0.96	
anet	219086	876940	115	+36.39	3.78	+11.2	-	0.81	
anet	154814	645446	111	+37.81	10.08	+11.0	FAN	2.16	OVERRIDE
tfrrs	9640	3	54	+36.82	5.20	+11.0	-	1.11	
