meet	div	n	med_gap	iqr	clean_frac	shape
3294	1	37	-38.6	2.4	0.00	TRANSLATION
4104	1	16	-40.8	1.1	0.00	TRANSLATION
4249	1	144	-47.2	4.3	0.00	TRANSLATION
4272	1	137	-47.0	3.1	0.00	TRANSLATION
4273	1	169	-47.6	4.1	0.00	TRANSLATION
4275	1	203	-47.6	2.7	0.00	TRANSLATION
4374	1	15	-37.4	3.1	0.00	TRANSLATION
4516	1	90	-36.1	6.0	0.04	TRANSLATION
4572	27264	33	-43.3	2.7	0.00	TRANSLATION
4572	27265	18	-43.5	4.4	0.00	TRANSLATION
4692	1	68	-38.8	2.2	0.01	TRANSLATION
4788	1	122	-44.3	22.2	0.01	MIXTURE
4876	0	78	-39.6	3.7	0.03	TRANSLATION
4968	0	17	+45.5	47.7	0.29	MIXTURE
4974	1	20	-42.1	8.9	0.05	TRANSLATION
4978	1	15	+68.9	13.2	0.00	MIXTURE
5259	1	41	-38.3	3.3	0.00	TRANSLATION
5431	5	18	+56.5	34.9	0.00	MIXTURE
5467	1	18	-37.8	4.7	0.06	TRANSLATION
5658	1	17	-45.6	1.6	0.00	TRANSLATION
5682	1	21	-37.8	4.4	0.00	TRANSLATION
5760	0	27	-40.8	2.5	0.00	TRANSLATION
5760	2	50	-39.5	2.7	0.00	TRANSLATION
5857	1	18	-39.5	3.6	0.00	TRANSLATION
5992	1	171	-45.7	4.7	0.00	TRANSLATION
6193	1	144	-46.1	10.5	0.00	MIXTURE
6561	1	18	+71.2	11.1	0.00	MIXTURE
6740	1	24	-37.0	2.8	0.00	TRANSLATION
6803	0	28	+49.3	48.9	0.25	MIXTURE
7057	0	35	-44.3	2.2	0.00	TRANSLATION
7160	0	34	+54.9	33.0	0.18	MIXTURE
7247	1	194	-47.6	6.7	0.00	TRANSLATION
7252	1	155	-47.9	2.5	0.00	TRANSLATION
7296	1	145	-49.0	2.8	0.00	TRANSLATION
7531	1	22	-52.1	1.6	0.00	TRANSLATION
7556	0	32	+21.2	48.2	0.41	MIXTURE
7660	0	46	-39.5	3.8	0.02	TRANSLATION
7762	1	42	+60.8	32.8	0.10	MIXTURE
7873	0	32	-37.3	4.1	0.00	TRANSLATION
7891	0	17	-40.2	2.0	0.00	TRANSLATION
7910	1	22	-39.0	2.9	0.00	TRANSLATION
7931	1	45	-37.4	3.3	0.00	TRANSLATION
7938	0	97	-43.2	2.3	0.00	TRANSLATION
7981	0	51	+22.1	55.6	0.29	MIXTURE
8044	0	44	-39.6	2.8	0.00	TRANSLATION
8044	1	42	+11.5	17.7	0.64	MIXTURE
8104	0	23	-37.2	2.8	0.00	TRANSLATION
8121	0	29	-39.1	3.8	0.00	TRANSLATION
