meet	div	ov	triage_verdict	own_med	sibling_med	n_siblings	call	note
3703	5	6000.0	UNIFORM_NEG	-21.0	+0.9	1	DIV_SPECIFIC	siblings flat (+0.9%) while this is -21.0% -- the LABEL is the difference. Draft is safe to page-verify.
3878	3	6437.0	UNIFORM_NEG	-20.6	+6.0	1	DIV_SPECIFIC	siblings flat (+6.0%) while this is -20.6% -- the LABEL is the difference. Draft is safe to page-verify.
3976	1	6437.0	UNIFORM_NEG	-16.3	-0.8	1	DIV_SPECIFIC	siblings flat (-0.8%) while this is -16.3% -- the LABEL is the difference. Draft is safe to page-verify.
4271	1	8000.0	UNIFORM_NEG	-17.9	-2.3	4	DIV_SPECIFIC	siblings flat (-2.3%) while this is -17.9% -- the LABEL is the difference. Draft is safe to page-verify.
4397	2	6000.0	UNIFORM_NEG	-19.1	+3.6	1	DIV_SPECIFIC	siblings flat (+3.6%) while this is -19.1% -- the LABEL is the difference. Draft is safe to page-verify.
4637	0	6000.0	UNIFORM_NEG	-17.4	-2.0	1	DIV_SPECIFIC	siblings flat (-2.0%) while this is -17.4% -- the LABEL is the difference. Draft is safe to page-verify.
4701	1	6437.0	UNIFORM_NEG	-17.0	+1.3	5	DIV_SPECIFIC	siblings flat (+1.3%) while this is -17.0% -- the LABEL is the difference. Draft is safe to page-verify.
4707	1	6437.0	UNIFORM_NEG	-17.8	-0.4	5	DIV_SPECIFIC	siblings flat (-0.4%) while this is -17.8% -- the LABEL is the difference. Draft is safe to page-verify.
4876	0	5000.0	UNIFORM_NEG	-39.6	-3.1	1	DIV_SPECIFIC	siblings flat (-3.1%) while this is -39.6% -- the LABEL is the difference. Draft is safe to page-verify.
5300	0	5000.0	UNIFORM_NEG	-35.5	+2.6	2	DIV_SPECIFIC	siblings flat (+2.6%) while this is -35.5% -- the LABEL is the difference. Draft is safe to page-verify.
5349	0	4000.0	UNIFORM_NEG	-20.1	+1.0	4	DIV_SPECIFIC	siblings flat (+1.0%) while this is -20.1% -- the LABEL is the difference. Draft is safe to page-verify.
5353	0	4800.0	UNIFORM_NEG	-19.2	-18.7	3	MEET_WIDE	siblings shifted -18.7% vs this -19.2% -- the MEET moved. DO NOT write a div-wide distance.
5528	2	6000.0	UNIFORM_NEG	-19.3	+1.2	3	DIV_SPECIFIC	siblings flat (+1.2%) while this is -19.3% -- the LABEL is the difference. Draft is safe to page-verify.
5577	1	6000.0	UNIFORM_NEG	-22.5	+4.6	1	DIV_SPECIFIC	siblings flat (+4.6%) while this is -22.5% -- the LABEL is the difference. Draft is safe to page-verify.
5598	1	6000.0	UNIFORM_NEG	-20.5	+5.3	3	DIV_SPECIFIC	siblings flat (+5.3%) while this is -20.5% -- the LABEL is the difference. Draft is safe to page-verify.
6004	1	8000.0	UNIFORM_NEG	-16.3	+2.8	1	DIV_SPECIFIC	siblings flat (+2.8%) while this is -16.3% -- the LABEL is the difference. Draft is safe to page-verify.
6292	1	6437.0	UNIFORM_NEG	-16.9	-1.4	3	DIV_SPECIFIC	siblings flat (-1.4%) while this is -16.9% -- the LABEL is the difference. Draft is safe to page-verify.
6631	1	6437.0	UNIFORM_NEG	-20.0	-6.8	1	PARTIAL_SHARE	siblings shifted -6.8% vs this -20.0% -- ambiguous
6896	0	4000.0	UNIFORM_NEG	-17.9	+3.5	1	DIV_SPECIFIC	siblings flat (+3.5%) while this is -17.9% -- the LABEL is the difference. Draft is safe to page-verify.
6904	1	6000.0	UNIFORM_NEG	-23.9	-3.2	2	DIV_SPECIFIC	siblings flat (-3.2%) while this is -23.9% -- the LABEL is the difference. Draft is safe to page-verify.
6959	0	4828.0	UNIFORM_NEG	-21.9	+0.1	1	DIV_SPECIFIC	siblings flat (+0.1%) while this is -21.9% -- the LABEL is the difference. Draft is safe to page-verify.
7022	1	6437.0	UNIFORM_NEG	-21.4	-3.1	1	DIV_SPECIFIC	siblings flat (-3.1%) while this is -21.4% -- the LABEL is the difference. Draft is safe to page-verify.
7166	1	8000.0	UNIFORM_NEG	-17.3	+0.0	1	DIV_SPECIFIC	siblings flat (+0.0%) while this is -17.3% -- the LABEL is the difference. Draft is safe to page-verify.
7250	1	8000.0	UNIFORM_NEG	-17.1	+5.4	3	DIV_SPECIFIC	siblings flat (+5.4%) while this is -17.1% -- the LABEL is the difference. Draft is safe to page-verify.
7384	2	6000.0	UNIFORM_NEG	-20.5	-2.7	5	DIV_SPECIFIC	siblings flat (-2.7%) while this is -20.5% -- the LABEL is the difference. Draft is safe to page-verify.
7474	3	6000.0	UNIFORM_NEG	-22.4	-0.6	5	DIV_SPECIFIC	siblings flat (-0.6%) while this is -22.4% -- the LABEL is the difference. Draft is safe to page-verify.
