meet	div	ov	med_pct	implied	chosen	stored	hit
3673	1	6000.0	-22.6	7752	8000	8000.0	1
3709	1	6000.0	-23.9	7884	8000	8000.0	1
3776	1	6437.0	-19.4	7986	8000	8000.0	1
3778	11	6000.0	-21.5	7643	8000	8000.0	1
3788	0	4000.0	-25.5	5369	5500	6000.0	0
3913	1	6000.0	-21.2	7614	8000	8000.0	1
3914	2	6000.0	-21.0	7595	8000	8000.0	1
3914	3	6000.0	-22.1	7702	8000	8000.0	1
3977	1	6000.0	-20.6	7557	8000	8000.0	1
3991	1	6437.0	-20.7	8117	8046.7	8000.0	1
3994	1	6000.0	-25.5	8054	8046.7	8000.0	1
4029	0	3218.0	-29.0	4532	4828	5000.0	0
4087	1	6000.0	-22.4	7732	8000	8000.0	1
4090	1	6000.0	-21.2	7614	8000	8000.0	1
4118	1	6000.0	-20.9	7585	8000	8000.0	1
4149	1	6000.0	-21.6	7653	8000	8000.0	1
4184	1	6437.0	-18.8	7927	8000	8000.0	1
4219	2	6000.0	-20.1	7509	8000	8000.0	1
4324	1	6000.0	-23.0	7792	8000	8000.0	1
4325	1	6000.0	-22.4	7732	8000	8000.0	1
4355	1	6000.0	-24.1	7905	8000	8000.0	1
4402	2	6000.0	-22.4	7732	8000	8000.0	1
4406	1	6437.0	-18.6	7908	8000	8000.0	1
4464	1	6000.0	-23.3	7823	8000	8000.0	1
4473	1	6000.0	-21.1	7605	8000	8000.0	1
4502	4	6437.0	-20.7	8117	8046.7	8000.0	1
4505	0	3200.0	-33.3	4798	4828	5000.0	0
4540	1	6000.0	-21.8	7673	8000	8000.0	1
4594	1	6000.0	-22.0	7692	8000	8000.0	1
4605	1	6000.0	-19.8	7481	7000	8000.0	0
4609	2	6000.0	-19.4	7444	7000	8000.0	0
4611	1	6000.0	-22.1	7702	8000	8000.0	1
4622	0	3218.0	-27.9	4463	4180	5000.0	0
4638	1	6000.0	-18.4	7353	7000	8046.72	0
4647	1	6000.0	-20.4	7538	8000	8000.0	1
4654	1	6000.0	-20.8	7576	8000	8000.0	1
4686	1	6000.0	-22.2	7712	8000	8000.0	1
4689	1	6000.0	-24.7	7968	8000	8000.0	1
4770	0	6000.0	-18.0	7317	7000	8000.0	0
4909	0	6000.0	-21.8	7673	8000	8000.0	1
4928	1	6000.0	-22.0	7692	8000	8000.0	1
5005	2	6000.0	-20.4	7538	8000	8000.0	1
5024	1	6437.0	-22.8	8338	8046.7	8000.0	1
5054	1	6000.0	-23.9	7884	8000	8000.0	1
5096	1	6000.0	-23.7	7864	8000	8000.0	1
5172	1	3218.0	-21.7	4110	4180	5000.0	0
5186	1	6000.0	-21.6	7653	8000	8000.0	1
5225	1	6000.0	-20.7	7566	8000	8000.0	1
5234	0	3218.0	-20.0	4022	4000	5000.0	0
5300	0	6000.0	-22.4	7732	8000	5000.0	0
5309	1	6437.0	-18.5	7898	8000	8000.0	1
