# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	45646	1	13	-55.0	76.6	1015	na	na	-	INVESTIGATE		
DIV	anet	572940	7	12	-50.4	15.2	828	na	na	-	INVESTIGATE		
DIV	anet	557031	1	13	-49.8	84.8	1417	na	na	-	INVESTIGATE		
DIV	anet	624779	6	13	-48.8	7.3	827	na	na	-	INVESTIGATE		
DIV	anet	624779	7	12	-48.6	6.9	827	na	na	-	INVESTIGATE		
DIV	anet	572940	4	12	-48.6	10.6	828	na	na	-	INVESTIGATE		
DIV	anet	406934	1	30	-45.6	5.9	821	na	na	-	INVESTIGATE		
DIV	anet	572940	5	16	-45.1	3.8	828	na	na	-	INVESTIGATE		
DIV	anet	171796	2	22	-45.1	3.9	828	na	na	-	INVESTIGATE		
DIV	anet	222379	4	13	-42.5	61.3	834	na	na	-	INVESTIGATE		
DIV	anet	231180	3	12	-40.3	49.0	834	na	na	-	INVESTIGATE		
DIV	anet	33425	1	19	-38.5	7.8	1406	na	na	-	INVESTIGATE		
DIV	anet	19365	1	13	-36.4	1.7	1406	na	na	-	INVESTIGATE		
DIV	anet	276484	1	17	-33.6	59.2	1443	na	na	-	INVESTIGATE		
DIV	anet	381242	1	16	-32.2	121.6	653	na	na	-	INVESTIGATE		
DIV	anet	526794	1	33	-31.8	5.0	1408	na	na	-	INVESTIGATE		
DIV	anet	302031	1	17	-31.0	62.7	1430	na	na	-	INVESTIGATE		
DIV	anet	365131	1	119	-27.8	47.9	1433	na	na	-	INVESTIGATE		
DIV	anet	599151	1	12	-27.3	7.6	1418	na	na	-	INVESTIGATE		
DIV	anet	474360	1	19	-25.2	27.8	1418	na	na	-	INVESTIGATE		
DIV	anet	568948	4	43	-25.0	34.4	1417	na	na	-	INVESTIGATE		
DIV	anet	623298	1	18	-23.7	8.9	639	na	na	-	INVESTIGATE		
DIV	anet	643424	1	18	-21.7	4.5	825	na	na	-	INVESTIGATE		
DIV	anet	542264	1	15	+27.2	36.4	3077	na	na	-	INVESTIGATE		
DIV	anet	219750	1	12	-20.9	62.4	1441	na	na	-	INVESTIGATE		
DIV	anet	453543	1	16	-20.8	26.0	1047	na	na	-	INVESTIGATE		
DIV	anet	508198	1	37	-20.8	38.7	817	na	na	-	INVESTIGATE		
DIV	anet	589721	6	13	-20.4	11.8	1322	na	na	-	INVESTIGATE		
DIV	anet	580895	1	16	-20.3	3.0	3086	na	na	-	INVESTIGATE		
DIV	anet	41833	1	25	+23.8	4.7	1412	na	na	-	INVESTIGATE		
DIV	anet	260130	1	12	+23.7	2.5	1437	na	na	-	INVESTIGATE		
DIV	anet	423040	4	20	-19.2	28.0	1330	na	na	-	INVESTIGATE		
DIV	anet	308334	1	21	+23.4	2.5	1425	na	na	-	INVESTIGATE		
DIV	anet	536420	3	17	-18.9	57.4	1408	na	na	-	INVESTIGATE		
DIV	anet	604074	1	26	-18.8	18.5	1408	na	na	-	INVESTIGATE		
DIV	anet	465628	1	21	-18.1	11.3	1437	na	na	-	INVESTIGATE		
DIV	tfrrs	61487	None	105	-17.8	13.6	5089	na	na	-	INVESTIGATE		
DIV	anet	276395	1	41	+21.6	43.4	654	na	na	-	INVESTIGATE		
DIV	anet	443139	1	21	-17.6	9.7	644	na	na	-	INVESTIGATE		
DIV	anet	637115	10	12	-17.5	8.8	644	na	na	-	INVESTIGATE		
DIV	anet	82735	2	19	+21.2	4.7	1409	na	na	-	INVESTIGATE		
DIV	tfrrs	61333	None	18	-17.2	14.3	1453	na	na	-	INVESTIGATE		
DIV	anet	299284	2	18	-16.9	26.6	1425	na	na	-	INVESTIGATE		
DIV	tfrrs	15909	None	23	-16.7	12.5	1428	na	na	-	INVESTIGATE		
DIV	anet	614281	1	14	-16.5	9.7	1417	na	na	-	INVESTIGATE		
DIV	tfrrs	63608	None	13	-16.5	9.7	1861	na	na	-	INVESTIGATE		
DIV	anet	542264	4	18	+19.7	33.0	1865	na	na	-	INVESTIGATE		
DIV	tfrrs	94611	None	13	-16.4	15.8	1431	na	na	-	INVESTIGATE		
DIV	anet	589721	5	14	-16.4	22.1	1322	na	na	-	INVESTIGATE		
DIV	anet	125103	1	164	+19.6	67.3	1431	na	na	-	INVESTIGATE		
DIV	anet	67395	1	47	+19.5	26.4	1428	na	na	-	INVESTIGATE		
DIV	tfrrs	35985	None	22	-16.3	4.4	3129	na	na	-	INVESTIGATE		
DIV	anet	139301	1	19	-16.1	14.4	1026	na	na	-	INVESTIGATE		
DIV	anet	439690	2	18	-16.1	14.4	1427	na	na	-	INVESTIGATE		
DIV	anet	585217	1	22	+19.1	8.9	1408	na	na	-	INVESTIGATE		
DIV	anet	488939	2	25	-15.9	3.5	1830	na	na	-	INVESTIGATE		
DIV	tfrrs	83313	None	39	-15.8	10.7	3081	na	na	-	INVESTIGATE		
DIV	anet	498457	1	24	-15.8	3.6	1818	na	na	-	INVESTIGATE		
DIV	tfrrs	18728	None	59	-15.8	6.4	2893	na	na	-	INVESTIGATE		
DIV	tfrrs	26916	None	12	-15.8	23.9	1439	na	na	-	INVESTIGATE		
DIV	tfrrs	24893	None	16	-15.7	9.7	1846	na	na	-	INVESTIGATE		
DIV	anet	668352	2	24	-15.7	15.2	1832	na	na	-	INVESTIGATE		
DIV	anet	112468	1	12	-15.6	12.2	646	na	na	-	INVESTIGATE		
DIV	tfrrs	54702	None	28	-15.6	4.3	667	na	na	-	INVESTIGATE		
DIV	tfrrs	77951	None	14	-15.4	7.3	1429	na	na	-	INVESTIGATE		
DIV	anet	295724	1	17	-15.3	52.1	640	na	na	-	INVESTIGATE		
DIV	anet	668352	1	30	-15.3	10.2	1816	na	na	-	INVESTIGATE		
DIV	anet	477185	1	16	-15.2	6.3	1823	na	na	-	INVESTIGATE		
DIV	anet	198771	1	30	-15.1	52.3	1833	na	na	-	INVESTIGATE		
DIV	tfrrs	73644	None	28	-15.1	3.7	1438	na	na	-	INVESTIGATE		
DIV	tfrrs	86613	None	12	+17.7	17.2	1035	na	na	-	INVESTIGATE		
DIV	anet	278005	4	33	-15.0	4.0	1832	na	na	-	INVESTIGATE		
DIV	tfrrs	15634	None	19	-15.0	6.4	1428	na	na	-	INVESTIGATE		
DIV	anet	278004	3	32	-15.0	3.2	1832	na	na	-	INVESTIGATE		
DIV	tfrrs	12877	None	22	-14.9	4.7	1429	na	na	-	INVESTIGATE		
DIV	anet	432801	1	25	-14.8	20.6	1427	na	na	-	INVESTIGATE		
DIV	anet	309068	1	25	-14.8	6.9	1430	na	na	-	INVESTIGATE		
DIV	anet	612284	1	14	-14.8	4.5	1827	na	na	-	INVESTIGATE		
DIV	anet	231053	1	16	-14.8	6.4	632	na	na	-	INVESTIGATE		
DIV	tfrrs	38108	None	47	-14.6	4.9	1447	na	na	-	INVESTIGATE		
DIV	anet	454206	1	40	-14.6	5.7	1831	na	na	-	INVESTIGATE		
DIV	anet	454283	2	38	-14.6	5.6	1831	na	na	-	INVESTIGATE		
DIV	anet	476970	2	23	-14.6	26.7	1427	na	na	-	INVESTIGATE		
DIV	anet	310513	1	40	-14.6	6.6	1834	na	na	-	INVESTIGATE		
DIV	anet	345251	1	24	+17.0	10.0	1432	na	na	-	INVESTIGATE		
DIV	anet	85788	3	26	-14.5	11.2	1825	na	na	-	INVESTIGATE		
DIV	anet	235680	2	12	-14.5	11.3	1338	na	na	-	INVESTIGATE		
DIV	anet	634021	2	30	-14.4	6.7	1830	na	na	-	INVESTIGATE		
DIV	anet	431799	1	14	-14.4	17.0	1427	na	na	-	INVESTIGATE		
DIV	tfrrs	92180	None	16	-14.4	12.3	1041	na	na	-	INVESTIGATE		
DIV	anet	423756	1	14	-14.4	5.2	1433	na	na	-	INVESTIGATE		
DIV	anet	284792	1	82	-14.4	4.7	2876	na	na	-	INVESTIGATE		
DIV	tfrrs	47770	None	12	-14.4	9.2	1455	na	na	-	INVESTIGATE		
DIV	tfrrs	29752	None	25	-14.4	11.4	1442	na	na	-	INVESTIGATE		
DIV	tfrrs	49139	None	36	-14.3	7.4	655	na	na	-	INVESTIGATE		
DIV	tfrrs	82131	None	12	-14.3	18.9	1830	na	na	-	INVESTIGATE		
DIV	anet	554041	1	43	-14.3	4.6	1829	na	na	-	INVESTIGATE		
DIV	anet	197709	3	12	-14.2	11.6	650	na	na	-	INVESTIGATE		
DIV	anet	129681	2	42	+16.6	4.7	1415	na	na	-	INVESTIGATE		
