# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	139716	580398	19	-63.1	3.2	1426	2	17	-	INVESTIGATE		
DIV	anet	193001	807098	180	-59.0	8.7	5131	1	22	-	INVESTIGATE		
DIV	anet	65728	284059	13	-55.5	12.1	3107	1	16	-	INVESTIGATE		
DIV	anet	62585	302185	17	-55.0	4.9	2184	1	11	-	INVESTIGATE		
DIV	anet	34600	279319	96	-54.7	4.2	2352	2	12	-	INVESTIGATE		
DIV	anet	270086	1075180	42	-53.6	2.9	1412	1	10	-	INVESTIGATE		
DIV	anet	199300	798809	12	+113.4	8.1	5122	2	7	-	INVESTIGATE		
DIV	anet	203074	814070	12	-53.0	5.9	1449	1	6	-	INVESTIGATE		
DIV	anet	112778	447458	12	-52.8	3.0	1456	3	28	-	INVESTIGATE		
DIV	anet	162731	673134	25	-52.3	5.1	1433	1	9	-	INVESTIGATE		
DIV	tfrrs	9391	1	17	-51.4	9.1	1436	na	na	-	INVESTIGATE		
DIV	anet	203074	814068	18	-51.3	16.4	1470	1	6	-	INVESTIGATE		
DIV	anet	83982	330068	12	-51.2	2.9	1458	1	13	-	INVESTIGATE		
DIV	anet	138967	575683	13	-51.2	10.8	1457	2	6	-	INVESTIGATE		
DIV	tfrrs	23429	1	21	-51.0	11.6	2923	na	na	-	INVESTIGATE		
DIV	anet	237804	950578	17	-50.5	4.1	2253	2	13	-	INVESTIGATE		
DIV	tfrrs	9177	0	25	-50.2	7.0	2844	na	na	-	INVESTIGATE		
DIV	anet	142483	597135	19	-49.9	10.2	1318	15	26	-	PERSISTENT		
DIV	tfrrs	11651	0	29	-48.4	4.3	3113	na	na	-	INVESTIGATE		
DIV	anet	35666	175628	23	-48.1	7.2	1456	5	28	-	INVESTIGATE		
DIV	anet	90197	384796	14	-46.7	5.6	1350	1	17	-	INVESTIGATE		
DIV	anet	197776	792428	13	-46.7	10.6	2915	2	15	-	INVESTIGATE		
DIV	anet	140581	585756	16	-46.7	6.2	1435	1	2	-	INVESTIGATE		
DIV	anet	142483	597136	24	-46.6	8.8	1323	15	26	-	PERSISTENT		
DIV	anet	151719	629322	55	-46.3	7.9	2891	2	13	-	INVESTIGATE		
DIV	anet	116992	468789	47	-45.8	7.8	1433	2	6	-	INVESTIGATE		
DIV	tfrrs	9640	2	41	-45.8	4.5	3114	na	na	-	INVESTIGATE		
DIV	anet	103109	452752	73	-45.5	8.4	1456	5	31	-	INVESTIGATE		
DIV	anet	52567	223756	22	-45.5	5.6	2262	1	17	-	INVESTIGATE		
DIV	anet	103109	452753	78	-45.5	7.9	1433	5	31	-	INVESTIGATE		
DIV	anet	42993	185304	21	-45.4	5.0	1431	5	28	-	INVESTIGATE		
DIV	anet	176914	724206	31	-45.3	7.2	1347	1	9	-	INVESTIGATE		
DIV	anet	151719	629323	27	-45.3	7.0	2888	2	13	-	INVESTIGATE		
DIV	tfrrs	21909	0	25	-45.2	4.0	2933	na	na	-	INVESTIGATE		
DIV	anet	197513	791358	12	+82.3	19.6	2283	1	15	OVERRIDE	REGRESSION		
DIV	tfrrs	7057	0	33	-44.8	2.7	2876	na	na	-	INVESTIGATE		
DIV	tfrrs	9756	0	28	-44.6	4.3	3182	na	na	-	INVESTIGATE		
DIV	anet	259219	1029166	12	-44.4	5.2	1424	4	15	-	INVESTIGATE		
DIV	tfrrs	7938	0	89	-44.3	3.9	1643	na	na	-	INVESTIGATE		
DIV	tfrrs	9756	1	35	-44.3	3.8	3182	na	na	-	INVESTIGATE		
DIV	anet	197776	792431	17	-44.2	4.6	2923	2	15	-	INVESTIGATE		
DIV	anet	50928	216949	29	-44.0	3.7	1324	1	18	-	INVESTIGATE		
DIV	anet	122945	494164	22	-43.8	6.6	5043	1	17	-	INVESTIGATE		
DIV	tfrrs	12792	0	14	-43.7	11.5	3192	na	na	-	INVESTIGATE		
DIV	anet	243247	969385	13	-43.7	5.5	2875	2	8	-	INVESTIGATE		
DIV	anet	119612	506390	98	-43.7	8.1	3112	2	12	-	INVESTIGATE		
DIV	tfrrs	10714	0	14	-43.7	8.8	3170	na	na	-	INVESTIGATE		
DIV	anet	142044	594644	62	-43.7	5.7	1417	11	14	OVERRIDE	REGRESSION		
DIV	anet	197776	792430	27	-43.6	5.6	2915	2	15	-	INVESTIGATE		
