# meets_tf DEAD-END venues (no venue name, no gps twin). Fill gps_lat/gps_long by hand where the meet names reveal a place.
# location_id	n_divs	n_meets	states	sample_meet_names	gps_lat	gps_long
# auto-filled 2026-07-11 by fill_deadend_venues.py (per-row rule in provenance sidecar)
138170	2717	28	MS	2025 MAIS 1-AA, 1-AAA, 1-AAAA & 2-AAA Varsity District Track & Field Championship | Colt Relays | Gulfport Gaston Hewes Relays | Lee Academy Classic		
141903	2247	65	KY	AAU KY District | Bluegrass State Games | City of Middletown MS Track Classic | Eastern Quad		
141795	1811	59	MN	2005 AAU Minnesota Junior Olympic | AAU MN Championships | Boys JV - May 2 | Boys JV - Rosemount, Apple Valley, Eagan, Burnsville	44.730	-93.220
138213	673	6	VA	BWSP Queens and Kings | BWSP Queens and Kings - Meet 2 | BWSP Queens and Kings - Meet 3 | BWSP Queens and Kings Championships		
140576	657	39	MO	SLPS- Boys (St. Louis Public Schools Only) | Dewanda Lewis-Bey PHL Field Days | Field Day - Phl | Gateway Institute of Technology Invitational	38.630	-90.230
141237	604	22	MN	Blaze Invitational | Blaze Invite | Burnsville Boys JV | Burnsville Boys JV Quad	44.770	-93.280
138346	498	4	NB	AUS Track and Field Championships | NBIndoor+UniversityIndoor | Red & Black Open	45.950	-66.640
140734	376	13	IA	2A State Qualifier - Eddyville-Blakesburg-Fremont | EBF HS Boys Relays | Eddyville-Blaskesburg Girls' Relays | Eddyville Girls Invitational	41.160	-92.640
142470	367	16	NH	NHWTL JV 2 | NHWTL UNH Afternoon | NHWTL UNH Morning | NWTL UNH PM	43.130	-70.930
113007	355	6	TX	District 4-5A Meet | District Championships 3-5A | Johnson County Relays | Keith Gilbert Elk Relays	32.350	-97.390
141173	353	4	NC	Johnson Riley | MidState Championship | NC United		
142556	327	2	NB	Atlantic Indoors | Moncton Open	46.100	-64.800
112977	289	8	OS	GMM Invitational | Humphreys Invitational | Humphreys Invitational KAIAC schools | JMM Invitational	36.970	127.030
140936	250	7	PA	7th vs 8th | Altoona vs Bishop Guilfoyle, Penns Valley, and Tyrone | CD East/CD @ Altoona | CM/BG @ Altoona	40.520	-78.390
138176	243	8	OH	Ohio State HS Qualifier # 1 | Ohio State HS Qualifier # 2 | Ohio State HS Qualifier # 3 | Ohio State HS Qualifier # 4	40.006	-83.029
112888	238	9	OS	GDOE Meet 2- UMSvsVSAB, FBvsAIJMS, OMSvsIMS, JRMSvsAMS, FBvsVSAB, OMSvsAMS | GDOE Meet 3- IMSvsAIJMS, VSABvsJRMS, OMSvsUMS, AMSvsFBLG, VSABvsAIJMS, OMSvsJRMS | GDOE Meet 4- AIJMSvsOMS, VSABvsIMS, UMSvsAMS, JRMSvsFBLG, UMSvsFBLG, IMSvsAMS | GDOE Meet 5- IMSvsUMS, AMSvsVSAB, FBLGvsOMS, JRMSvsAIJMS	13.470	144.790
112838	236	7	OS	Mike Petty Memorial III Final Results | Petty Memorial - Day One | Petty Memorial - Day Two | Petty Memorial IV Final Results	26.340	127.800
142599	225	1	NSW	Coles Region 2 Champs	-33.850	151.070
112873	223	7	OS	Iiaag All-Island Championship | IIAAG Meet#1- GHSvsOHS, GWvsFD-AOLG, SHSvsSSHS | IIAAG Meet#2- SSHSvsGHS, GWvsGHS, SHSvsGW, OHSvsJFK, FD-AOLGvsJFK, SSHSvsOHS | IIAAG Meet#3- JFKvsSSHS, OHSvsGW, FD-AOLGvsSHS,	13.470	144.790
141811	221	6	MS	Coastal Mississippi Challenge | MHSAA Division 8-2A Championship | MHSAA Region 4-3A | Nativity BVM Meet	30.400	-88.890
141950	216	1	VA	AAU Virginia North District Qualifier		
138318	215	4	MS	Velma Jackson Invitational | Velma Jackson Invitational II | Velma Jackson Region 6-1A	32.776	-89.867
112850	208	10	OS	GPSS Meet #1 | GPSS Meet #3 | GPSS Meet #4 | GPSS Meet #5	13.470	144.790
112939	191	6	OS	Iiaag All-Island Championship | Iiaag Meet #3 | Iiaag Meet #4 | Iiaag Meet #5	13.470	144.790
142047	180	1	IL	AAU Central District Qualifier 2		
142045	169	1	VA	Cannonball Cooper Invite		
141187	168	5	NE	Boone Central Invitational | Boone Central MS Invite | Mid State Conference Championships | St. Paul MS Invitational	41.688	-98.003
141229	165	5	PA	George School #1 | George School #2 | George School #3 | George School #4	40.220	-74.940
140778	153	4	NC	Mid-South Relays | SAC #3 | SAC #6 | SAC Championship		
140571	146	4	MO	Clayton Classic | Clayton Varsity | Greyhound Invite | Greyhound JV	38.650	-90.336
112926	145	7	OS	GDOE Middle School Meet #1 | GDOE Middle School Meet #2 | GDOE Middle School Meet #3 | GDOE Middle School Meet #4	13.470	144.790
141062	144	4	PA	East Stroudsburg South #3 | ESS Dual #1 | ESS Dual #2 | ESS Dual #4	40.998	-75.184
141228	143	4	PA	ESN Dual #1 | ESN Dual #2 | ESN Dual #3 | ESN Dual #4	41.000	-75.180
141063	142	4	PA	Stroudsburg Dual #1 | Stroudsburg Dual #2 | Stroudsburg Dual #3 | Stroudsburg Dual #4	40.986	-75.195
142032	139	1	Texas	TAAF Region 6		
141197	135	3	IA	CIML HS Boys Conference | SE Polk HS Boys | SE Polk MS Coed	41.580	-93.500
141106	132	4	IA	Perry HS Boys | Perry HS Girls | Perry MS Coed | Perry MS Girls	41.839	-94.107
138047	129	1	NB	Dernière Chanc	46.100	-64.800
142216	127	1	NSW	NSW Primary Schools 24	-33.850	151.070
141869	125	1	NC	Ken Roberts Panther Elite		
141483	122	3	IA	Mt Ayr HS Coed | POI HS Coed Conf Meet	40.715	-94.238
142455	121	2	AB	Dino#1 | Dino3	51.080	-114.130
142509	121	1	TX	Afterburners Track Meet		
112940	120	4	OS	DHS Invitational | HHS Invitational | OHS Invitational MS,HS | SAHS Invitational	37.550	126.990
140583	120	4	MO	Troy JV | Troy South MS | Troy Throwdown | Troy Trojan Varsity Invitational	38.979	-90.981
141194	117	3	IA	DSM Valley HS Boys | DSM Valley HS Boys 9/10 | DSM Valley HS Coed	41.571	-93.709
142742	114	2	CA	Beaumont vs Shadow Hills/ Palm Desert | Norte Vista vs Hillcrest/ La Sierra	33.930	-116.976
141159	112	3	IA	Newton HS Coed | Newton MS Boys	41.700	-93.054
142360	112	1	QLD	2025 SE HART Reg. Relays	-27.560	153.060
141122	107	3	IA	Clarke HS Boys | Clarke HS Girls	41.015	-93.784
141680	107	3	St. Andrew Parish	FRENCH FORAY #3 | INSPORTS CENTRAL PRIMARY CHAMPS 2024 | JCF NATIONAL SPORTS 2024	18.000	-76.780
112839	107	4	OS	All-Island | Iaag #2- Sshs-Jfk/shs-Gw/fd*aolg-Ghs | Iaag #5- Jfk-Ghs/gw-Fd*aolg/sshs-Shs | Iaag All-Island	13.470	144.790
138217	106	1	SK	K of C	52.130	-106.630
140575	104	2	MO	Pacific HS | Pacific MS	38.482	-90.742
141443	95	1	NSW	Treloar Shield - Round 2	-33.850	151.070
112890	95	3	OS	All Island Championship | IIAAG Meet 1- OHSvsGH, SHSvsSSHS, FD/AOLGvsGW | IIAAG Meet 2- GHSvsFD/AOLG, SSHSvsOHS, SHSvsJFK, OHS vsJFK	13.470	144.790
141444	94	1	NSW	Treloar Shield - Round 3	-33.850	151.070
112934	93	2	OS	Okinawa Quad #3 | Okinawa Quad #5	26.340	127.800
141448	91	7	PA	Garnet Valley MS #2 | Garnet Valley MS #3 | Garnet Valley MS #4 | Garnet Valley MS #5	39.843	-75.537
112992	90	3	os	DMHS Invitational (Sr. Recognition) (MS) | Korea Finals | SAHS Invitational	37.550	126.990
112906	88	3	OS	OAC Weekly Quadrangular	26.340	127.800
139744	88	4	IL	Minooka Girls Invitational | Minooka vs. Oswego East and Joliet West Girls | Minooka vs. Oswego Girls | Minooka vs. Plainfield East	41.455	-88.262
141583	84	2	IA	DSM Christian HS Coed | DSM Christian MS Coed	41.620	-93.710
142494	84	4	PA	PCL Indoor Championships | TFCAGP #2 | TFCAGP #4 | TFCAGP #5	39.950	-75.160
112885	82	1	NS	DISTR10		
140544	78	1	MO	Nortwest Invite		
142743	77	1	CA	Los Al vs Servite /Rosary	33.800	-118.070
