location_id	state	guess	query	source	low_conf	lat	lon
138170	MS	AAA Varsity District Track & Field Championship	AAA Varsity District Track & Field Championship, MS, USA	miss			
141903	KY	KY	KY, KY, USA	census/nominatim	1	36.662	-88.310
141795	MN	Minnesota Junior Olympic	Minnesota Junior Olympic, MN, USA	miss			
138213	VA	BWSP Queens	BWSP Queens, VA, USA	miss			
140576	MO	SLPS-	SLPS-, MO, USA	miss	1		
141237	MN	Blaze	Blaze, MN, USA	census/nominatim		44.130	-93.993
140734	IA	State	State, IA, USA	census/nominatim		41.681	-93.246
142470	NH	NHWTL	NHWTL, NH, USA	miss	1		
113007	TX	5A Meet	5A Meet, TX, USA	miss			
141173	NC	Johnson Riley	Johnson Riley, NC, USA	census/nominatim		37.041	-88.350
138176	OH	Ohio State	Ohio State, OH, USA	census/nominatim		40.006	-83.029
141811	MS	Coastal Mississippi Challenge	Coastal Mississippi Challenge, MS, USA	miss			
141950	VA	Virginia North	Virginia North, VA, USA	census/nominatim		38.897	-77.072
138318	MS	Velma Jackson	Velma Jackson, MS, USA	census/nominatim		32.776	-89.867
142047	IL	Central	Central, IL, USA	census/nominatim		41.887	-87.766
142045	VA	Cannonball Cooper	Cannonball Cooper, VA, USA	miss			
141187	NE	Boone Central	Boone Central, NE, USA	census/nominatim		41.688	-98.003
141229	PA	George	George, PA, USA	census/nominatim		41.621	-79.670
140778	NC	Mid-South	Mid-South, NC, USA	census/nominatim		35.790	-82.241
140571	MO	Clayton	Clayton, MO, USA	census/nominatim		38.650	-90.336
141062	PA	East Stroudsburg South	East Stroudsburg South, PA, USA	census/nominatim		40.998	-75.184
141228	PA	ESN	ESN, PA, USA	miss	1		
141063	PA	Stroudsburg	Stroudsburg, PA, USA	census/nominatim		40.986	-75.195
142032	Texas	Region	Region, TX, USA	census/nominatim		30.266	-97.650
141106	IA	Perry	Perry, IA, USA	census/nominatim		41.839	-94.107
141869	NC	Ken Roberts Panther Elite	Ken Roberts Panther Elite, NC, USA	miss			
141483	IA	Mt Ayr	Mt Ayr, IA, USA	census/nominatim		40.715	-94.238
142509	TX	Afterburners Track	Afterburners Track, TX, USA	miss			
140583	MO	Troy	Troy, MO, USA	census/nominatim		38.979	-90.981
141194	IA	DSM Valley	DSM Valley, IA, USA	census/nominatim		41.571	-93.709
142742	CA	Beaumont	Beaumont, CA, USA	census/nominatim		33.930	-116.976
141159	IA	Newton	Newton, IA, USA	census/nominatim		41.700	-93.054
141122	IA	Clarke	Clarke, IA, USA	census/nominatim		41.015	-93.784
140575	MO	Pacific	Pacific, MO, USA	census/nominatim		38.482	-90.742
141448	PA	Garnet Valley	Garnet Valley, PA, USA	census/nominatim		39.843	-75.537
139744	IL	Minooka	Minooka, IL, USA	census/nominatim		41.455	-88.262
141583	IA	DSM Christian	DSM Christian, IA, USA	miss			
142494	PA	Indoor	Indoor, PA, USA	census/nominatim		41.395	-75.261
140544	MO	Nortwest	Nortwest, MO, USA	census/nominatim		38.280	-93.395
142743	CA	Los Al	Los Al, CA, USA	census/nominatim		38.630	-121.441
141078	PA	Lock Haven Bald Eagle	Lock Haven Bald Eagle, PA, USA	census/nominatim		41.114	-77.482
140512	MO	AAA	AAA, MO, USA	census/nominatim	1	39.260	-94.658
141830	NC	1A/3A Outdoor State	1A/3A Outdoor State, NC, USA	miss	1		
140551	IL	Minooka	Minooka, IL, USA	census/nominatim		41.455	-88.262
141389	IA	CN Robinson	CN Robinson, IA, USA	census/nominatim		42.342	-91.579
