location_id	gps_lat	gps_long
138176	40.006	-83.029
138318	32.776	-89.867
141187	41.688	-98.003
140571	38.650	-90.336
141062	40.998	-75.184
141063	40.986	-75.195
141106	41.839	-94.107
141483	40.715	-94.238
140583	38.979	-90.981
141194	41.571	-93.709
142742	33.930	-116.976
141159	41.700	-93.054
141122	41.015	-93.784
140575	38.482	-90.742
141448	39.843	-75.537
139744	41.455	-88.262
141078	41.114	-77.482
140551	41.455	-88.262
141449	39.931	-75.552
141514	41.374	-93.739
141341	40.138	-75.220
113000	43.702	-124.097
140577	38.503	-90.628
140586	39.019	-94.198
141304	41.890	-93.396
140582	38.938	-92.350
141294	40.208	-75.527
141719	43.743	-90.779
142528	35.190	-78.648
140942	35.318	-79.347
141252	41.815	-74.188
141281	43.081	-96.164
141019	40.617	-93.926
141450	40.025	-75.277
140957	39.843	-75.537
141784	39.895	-75.372
